country,code,region,region_noHICgroup,incgroup2,incgroup3,incgroup4,fragile,survey,year,status,cohort,parent,child,obs,P1,P2,P3,P4,P5,C1,C2,C3,C4,C5,MEANp,MEANc,SDp,SDc,MLD_psu,CAT,YOS,DIF,MIX,CAT_ISCED0,CAT_ISCED1,CAT_ISCED2,CAT_ISCED34,CAT_ISCED5678,COR,BETA,MU050,BHQ4,Q4Q4,BHQ1,BHQ2,BHQ3,Q4BH,Q4child
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,dad,all,514,0.48415551,0.095066704,0.14696519,0.15699387,0.11681875,0.32412547,0.093676195,0.061562046,0.18312152,0.33751476,6.8270173,9.1924791,5.2118077,6.1242375,0.66970968,0.53080142,0.6040194,3.2601509,0.52604055,0.43873984,0.6966188,0.61475664,0.63570923,0,0.52359319,0.61525857,36.819912,0.14073187,0.4664562,0.43914703,0.26252276,0.15759836,0.17360453,0.25153533
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,dad,daughter,248,0.48819357,0.11388655,0.13810791,0.15000796,0.109804,0.39021271,0.089455821,0.056306046,0.15437524,0.30965018,6.5441074,8.4311419,5.2941828,6.4456644,0.7646963,0.47197133,0.53934032,2.711781,0.4694171,0.32959813,0.67871672,0.59071654,0.66903096,0,0.56101894,0.6830402,32.417019,0.10364611,0.46521044,0.5567072,0.22856742,0.085511893,0.21808396,0.23435204
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,dad,son,266,0.47970507,0.074325092,0.15672691,0.16469312,0.1245498,0.25128984,0.098327532,0.067354754,0.21480317,0.36822468,7.1388159,10.031558,5.1122818,5.6446042,0.80122399,0.59673089,0.67611349,3.8746967,0.58844596,0.5611549,0.72685081,0.63810402,0.60225958,0,0.47130781,0.5203833,38.25518,0.1346972,0.46994951,0.32393703,0.3013429,0.24002288,0.12123053,0.27047327
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,max,all,476,0.45116287,0.10522864,0.14958723,0.16477096,0.1292503,0.33021063,0.096481197,0.051976804,0.19066133,0.33067003,7.0911775,9.1551704,5.3321667,6.133954,0.66970968,0.50106752,0.58752054,3.0038908,0.50164425,0.39151812,0.65069342,0.60024619,0.61543131,0,0.55669487,0.64040405,35.935127,0.12512757,0.51618975,0.457017,0.25743777,0.15077215,0.14591824,0.25216129
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,max,daughter,231,0.44297212,0.13325205,0.14376529,0.15063395,0.12937659,0.39077765,0.090076104,0.052898612,0.16123508,0.30501255,6.8525023,8.4065542,5.4826074,6.3934031,0.7646963,0.44161615,0.51101041,2.4321043,0.44848794,0.26860392,0.62136734,0.58268726,0.65674859,0,0.59174025,0.69004285,33.596039,0.097781464,0.48527837,0.56090069,0.20411411,0.086616114,0.19620928,0.23068006
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,max,son,245,0.46021807,0.074247681,0.15602361,0.18039997,0.12911068,0.26325148,0.10356227,0.05095771,0.22319318,0.35903537,7.355042,9.9827938,5.1601825,5.735074,0.80122399,0.56677318,0.6720677,3.6358297,0.56041062,0.52231234,0.70887947,0.61813313,0.57729024,0,0.50925273,0.56598818,38.754822,0.11974011,0.54500586,0.34221557,0.31635389,0.22169042,0.10286099,0.27590966
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,mom,all,726,0.71517932,0.10410636,0.0801991,0.066942848,0.033572387,0.31833902,0.10628277,0.06545572,0.17919308,0.3307294,3.9107363,9.1639757,4.2017536,5.9994226,0.66970968,0.62208933,0.74983019,5.5042052,0.6271112,0.58019996,0.70315403,0.84034151,0.68207246,0,0.53407627,0.76257426,34.388306,0.097647659,0.48506373,0.44444975,0.27645418,0.18144841,0.17851235,0.25129804
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,mom,daughter,353,0.71148062,0.12182177,0.046058938,0.087823063,0.032815602,0.38580862,0.085557275,0.060176548,0.15504946,0.31340811,3.9025269,8.3892975,4.335134,6.3693528,0.7646963,0.54063463,0.64553356,4.7703528,0.54069728,0.49577102,0.62167311,0.74880421,0.68250257,0,0.55764318,0.81931168,29.997747,0.095246747,0.46235678,0.57979727,0.18786022,0.13659519,0.21838059,0.23615715
Angola,AGO,Sub-Saharan Africa,Sub-Saharan Africa,Developing economies,Middle income,Lower middle income,No,IBEP-MICS,2008,Co-residents only,1980,mom,son,373,0.71903878,0.085620858,0.11582334,0.04515497,0.03436207,0.24793652,0.1279092,0.070964381,0.20438623,0.34880367,3.9193025,9.9723301,4.0640597,5.480701,0.80122399,0.70722103,0.85686952,6.2711849,0.71728152,0.667373,0.82412505,0.8783251,0.68119967,0,0.51491493,0.69440287,35.03643,0.099697158,0.50946301,0.29550037,0.37386832,0.23093416,0.13640095,0.26709709
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,avg,all,210,0.18659513,0.51288986,0.1986751,0.084960528,0.016879391,0.023203442,0.38203645,0.30956513,0.19265647,0.092538506,4.506053,7.8830962,3.5561621,4.1896052,0.48960978,0.59172344,0.70223534,3.4521062,0.59430873,0.89328444,0.58574563,0.42781633,0.34879205,0,0.54514819,0.64225298,39.266251,0.11061332,0.53607428,0.36243448,0.30192849,0.2250237,0.19732203,0.25252005
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,avg,daughter,114,0.20238191,0.50458342,0.17938818,0.09133321,0.022313258,0.042640898,0.38070256,0.33126658,0.17219554,0.073194437,4.4986024,7.5065465,3.758558,4.1540074,0.55696887,0.57212859,0.66338217,3.1170628,0.5737623,0.81918669,0.57331985,0.42686138,0.30342039,0,0.54421675,0.60147548,38.200562,0.0897699,0.52233207,0.36407843,0.30394882,0.24186073,0.22070107,0.22109883
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,avg,son,96,0.16774969,0.52280563,0.22169884,0.077353135,0.010392717,0,0.38362879,0.28365907,0.21708168,0.11563048,4.5149469,8.3326025,3.3180318,4.2092667,0.73243415,0.61483306,0.74861628,3.8472462,0.61883599,1,0.60006189,0.42873874,0.41274324,0,0.55506146,0.70415294,40.287609,0.13585173,0.56547755,0.35991928,0.30063564,0.20359334,0.15543897,0.29002914
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,dad,all,211,0.18905567,0.51535791,0.19905999,0.075431727,0.021094738,0.023103952,0.38039839,0.30823782,0.19611813,0.092141733,5.0621214,7.9007483,3.7539427,4.1892529,0.48960978,0.60625011,0.60058218,2.983897,0.60598075,0.89512491,0.60347408,0.44212356,0.33432582,0,0.50902933,0.5680567,39.879173,0.12122285,0.51026607,0.35186467,0.29980615,0.22710636,0.25371012,0.25297689
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,dad,daughter,115,0.20676349,0.48743206,0.20090158,0.074913457,0.029989401,0.04230611,0.37771353,0.3286657,0.1786949,0.072619759,5.0750532,7.5418258,3.9601572,4.1566381,0.55696887,0.58637774,0.576644,2.6806362,0.5830794,0.82440788,0.58883363,0.45631966,0.2622152,0,0.49681494,0.52146411,38.354233,0.088843882,0.47512653,0.38332227,0.29809448,0.22453193,0.28090644,0.2205198
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,dad,son,96,0.16774969,0.54895812,0.19684419,0.076055311,0.010392717,0,0.38362879,0.28365907,0.21708168,0.11563048,5.0465622,8.3326025,3.5104063,4.2092667,0.73243415,0.62968695,0.62968695,3.3415534,0.6335355,1,0.61911505,0.42469078,0.41978636,0,0.53420454,0.64055538,41.314827,0.15377498,0.5507201,0.31496781,0.30063751,0.23061971,0.21580081,0.29202914
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,max,all,210,0.18659513,0.50559705,0.20320383,0.083418407,0.021185575,0.023203442,0.38203645,0.30956513,0.19265647,0.092538506,5.1475158,7.8830962,3.8134203,4.1896052,0.48960978,0.59150279,0.58605403,2.8792591,0.59154469,0.89328444,0.58760166,0.42108318,0.35524002,0,0.51927143,0.57049638,39.703938,0.1104265,0.52004117,0.35458195,0.30996224,0.2250293,0.21383181,0.25238976
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,max,daughter,114,0.20238191,0.49730715,0.18666448,0.083419748,0.03022672,0.042640898,0.38070256,0.33126658,0.17219554,0.073194437,5.1076317,7.5065465,3.9879808,4.1540074,0.55696887,0.57679719,0.567276,2.6124082,0.5737623,0.81918669,0.58170831,0.41022205,0.33220381,0,0.50250447,0.52342457,38.457024,0.086290754,0.47853348,0.35902697,0.31730565,0.24025863,0.24298604,0.21476848
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,max,son,96,0.16774969,0.51549315,0.22294766,0.083416805,0.010392717,0,0.38362879,0.28365907,0.21708168,0.11563048,5.195128,8.3326025,3.6142826,4.2092667,0.73243415,0.60870576,0.60870576,3.1914275,0.61277235,1,0.5943886,0.43193859,0.38274044,0,0.54624146,0.63616389,40.635513,0.14390136,0.55306029,0.34929368,0.30216807,0.20463687,0.18217489,0.29730013
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,mom,all,212,0.33294538,0.43891692,0.16193809,0.054138802,0.012060803,0.023048339,0.3848336,0.30882949,0.19136865,0.091919936,3.9789541,7.862474,3.7028382,4.185132,0.48960978,0.69424951,0.69015372,3.9525783,0.69365972,0.94059235,0.60899514,0.45266256,0.59308386,0,0.52376246,0.59198242,40.243122,0.14277458,0.54053473,0.34398374,0.29097348,0.22226821,0.18972531,0.2526713
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,mom,daughter,116,0.33905211,0.45815799,0.12843886,0.052310362,0.022040686,0.04212001,0.38583052,0.32965711,0.17009205,0.072300315,3.975332,7.4734602,3.8644142,4.1428447,0.55696887,0.66581708,0.65895885,3.6169317,0.66536593,0.89339006,0.5880996,0.40034547,0.52329659,0,0.53728795,0.5759995,38.340767,0.1064013,0.52509344,0.34898561,0.30037966,0.24249876,0.21330665,0.21721305
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1940,mom,son,96,0.32556537,0.41566387,0.20242228,0.056348491,0,0,0.38362879,0.28365907,0.21708168,0.11563048,3.9833314,8.3326025,3.5178115,4.2092667,0.73243415,0.72785306,0.72785306,4.3492708,0.72785306,1,0.63682926,0.49277997,0.67137855,,0.51399803,0.61502862,42.603935,0.18652451,0.56137985,0.33763501,0.27915764,0.19668284,0.16358216,0.29552302
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,avg,all,397,0.062357046,0.39747119,0.33369806,0.15932888,0.047144841,0.007273142,0.13180476,0.23861122,0.38349983,0.23881105,6.6618299,10.934166,3.8459518,4.0296593,0.34095109,0.72990769,0.78488785,4.4787951,0.73918879,0.94487655,0.83271784,0.68744588,0.47823033,0,0.42233312,0.44250646,39.817444,0.10480159,0.57877731,0.35065296,0.30823675,0.23630871,0.21071255,0.25173065
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,avg,daughter,192,0.06291388,0.41233605,0.37815145,0.08638601,0.060212631,0.011720796,0.13097209,0.28723347,0.39972767,0.17034596,6.4042888,10.425445,3.8236704,3.9231086,0.51474965,0.73569143,0.78579253,4.2729592,0.7465657,0.93907529,0.78197235,0.75324863,0.28980631,0,0.52389282,0.53751713,34.033318,0.039837576,0.56823242,0.43510094,0.31353956,0.21152189,0.21606496,0.17915106
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,avg,son,205,0.061829913,0.38339937,0.29161626,0.22838023,0.034774221,0.003062771,0.13259302,0.19258296,0.36813775,0.30362353,6.9056315,11.415746,3.8604593,4.0793195,0.62075806,0.72457683,0.78403145,4.6685138,0.73220545,0.95046455,0.88438171,0.60666895,0.54570031,0,0.32333639,0.34166721,45.56477,0.16789895,0.62649703,0.27592349,0.30242527,0.26067889,0.18683612,0.32043812
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,dad,all,401,0.074481085,0.41523796,0.28999555,0.16540664,0.054878756,0.007190768,0.13525479,0.23590873,0.38553938,0.23610631,7.1333356,10.906694,4.088284,4.0371537,0.34095109,0.73452932,0.73279566,4.0400863,0.74215013,0.95437223,0.84783846,0.66640949,0.47051352,0,0.43185943,0.42645836,39.164913,0.12074529,0.57570994,0.33799049,0.30554506,0.23571916,0.20632054,0.25141096
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,dad,daughter,193,0.081879891,0.41134986,0.32763112,0.11922847,0.059910651,0.011662015,0.13533041,0.28579295,0.39772296,0.16949165,6.9483857,10.39322,3.994005,3.9395773,0.51474965,0.72635722,0.72371137,3.6951449,0.73773617,0.95342219,0.80806762,0.70967495,0.33435372,0,0.5347538,0.52746654,34.695633,0.051775068,0.54202211,0.42106804,0.32237744,0.20477943,0.21975012,0.17859937
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,dad,son,208,0.067562968,0.41887349,0.25480509,0.20858468,0.050173778,0.00301001,0.13518408,0.18926542,0.37414739,0.29839313,7.3062692,11.386809,4.1767406,4.077477,0.62075806,0.74209213,0.74126804,4.3593106,0.74627727,0.95544881,0.88435757,0.61439264,0.54328698,0,0.33982781,0.33175153,44.911129,0.18654233,0.59668511,0.2687352,0.28943369,0.26522705,0.19702911,0.31949213
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,max,all,397,0.062357046,0.38995376,0.31690776,0.17282285,0.057958584,0.007273142,0.13180476,0.23861122,0.38349983,0.23881105,7.3468747,10.934166,4.0553012,4.0296593,0.34095109,0.71560955,0.71704036,3.8563256,0.72506493,0.94487655,0.8393296,0.66050804,0.45476782,0,0.43549004,0.4327364,39.151302,0.11557032,0.58935499,0.34644827,0.30841619,0.22956522,0.19376256,0.25165439
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,max,daughter,192,0.06291388,0.39943936,0.34924629,0.12314738,0.065253079,0.011720796,0.13097209,0.28723347,0.39972767,0.17034596,7.1767488,10.425445,3.9622445,3.9231086,0.51474965,0.70920902,0.70395696,3.5065897,0.72314358,0.93907529,0.79468006,0.7061258,0.32328576,0,0.5419023,0.53654981,34.588528,0.052714217,0.5533843,0.42889872,0.32627514,0.19211191,0.1984524,0.18330041
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,max,son,205,0.061829913,0.38097417,0.28629452,0.21984813,0.051053248,0.003062771,0.13259302,0.19258296,0.36813775,0.30362353,7.507925,11.415746,4.1447535,4.0793195,0.62075806,0.72157794,0.7293939,4.1824489,0.72688371,0.95046455,0.88364571,0.60782856,0.52448797,0,0.34034944,0.33497626,45.601597,0.17834784,0.58741587,0.27984256,0.29072961,0.26671413,0.19271797,0.31636167
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,mom,all,398,0.11822762,0.47558415,0.23132816,0.14281918,0.032040898,0.00725559,0.13148668,0.2380354,0.38498759,0.23823474,6.1834993,10.936738,3.9975226,4.0251217,0.34095109,0.77414978,0.7755729,4.9224825,0.78038746,0.97099626,0.87462866,0.64859754,0.4799659,0,0.36828142,0.3708241,41.13644,0.12461783,0.51699197,0.31914547,0.29970941,0.25652727,0.26699197,0.25165242
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,mom,daughter,193,0.15027861,0.47576573,0.22941281,0.097492494,0.047050342,0.01166278,0.1303238,0.28581172,0.40269893,0.16950276,5.890842,10.433239,4.1357131,3.914902,0.51474965,0.77164596,0.76651579,4.7742753,0.78239012,0.97462022,0.84525031,0.67981911,0.31566375,0,0.44906172,0.42508569,37.061714,0.073446244,0.47070399,0.38560846,0.31874466,0.22220063,0.26422781,0.17971843
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1950,mom,son,205,0.087735623,0.47541139,0.23315035,0.18594113,0.017761534,0.003062771,0.13259302,0.19258296,0.36813775,0.30362353,6.4619217,11.415746,3.8510027,4.0793195,0.62075806,0.77646077,0.78418952,5.0592766,0.7784822,0.96509093,0.90259892,0.61937082,0.56192243,0,0.28015438,0.29676405,45.588554,0.17718062,0.55057788,0.25128853,0.27941746,0.29211342,0.24288918,0.32008743
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,avg,all,513,0.043069005,0.31076086,0.40521666,0.18788674,0.053066704,0.017085951,0.11831313,0.24193881,0.43224055,0.19042158,7.4412541,10.704932,3.4530306,3.9519584,0.2865437,0.67482567,0.75674093,3.4656959,0.67955446,0.94338334,0.87627,0.6392504,0.35680506,0,0.35680643,0.40836129,41.995388,0.13798119,0.52556479,0.32179067,0.30584991,0.23437823,0.26022914,0.25099212
Albania,ALB,Europe & Central Asia,Europe & Central Asia,Developing economies,Middle income,Upper middle income,No,LITS,2016,Retrospective question,1960,avg,daughter,288,0.054916706,0.29457667,0.43895239,0.16239274,0.049161516,0.013161263,0.13849071,0.258522,0.4225539,0.16727212,7.3351555,10.42376,3.4372575,3.9347231,0.44028205,0.65689689,0.74509984,3.3303146,0.65470457,0.9201138,0.8554768,0.58607179,0.39910731,0,0.38646781,0.44240031,39.355473,0.096746564,0.53679681,0.35548821,0.31457359,0.23319162,0.22658294,0.21686143
